Date,OFI,MACD,RSI,LSTM,RSI_MACD,LSTM_RSI,LSTM_OFI,LSTM_MACD
2025-06-16,4711.993169547877,84950.86902403414,12820.992645901773,153496.76583907974,94724.96915670329,3053.2458001026735,24088.859975688058,8190.476576881534
2025-06-17,5215.111469602951,78460.23570436273,13050.180925924826,154962.9364735639,93311.9950351295,3596.0185292207734,24019.832388230046,7381.757624458845
2025-06-18,8091.7307416314325,81291.82330416181,11323.680145241626,156146.9906868764,92520.61797657158,3700.52445075757,25052.24445841764,7412.8482242271675
2025-06-19,14726.863659556006,83898.6735214075,11802.761808519434,162415.30466944684,95583.78383605012,2106.4518285533995,24657.757732834667,9077.736509939015
2025-06-20,3795.402215338261,81837.04090242606,17203.23504877401,160585.1251708659,91533.74870603863,3546.2249659090994,25994.058504633038,11128.970179376207
2025-06-23,9082.728748915797,90191.87644925428,16195.855069108628,169124.4829811151,98801.6035367936,2744.755458333333,30074.681953324383,10128.412046780046
2025-06-24,12318.66546014772,84212.02773251885,14645.722565226606,154979.51211243065,92713.79700183916,4156.664756451872,25218.465942895942,8633.518213113566
2025-06-25,15214.873295231446,84730.75429378636,13444.1292723004,162626.41767653357,98492.71532916394,2982.140103158934,27329.25736731387,8706.347807115715
2025-06-26,4913.6872075138235,85285.51107138698,12349.89429976295,157082.77139821625,98400.36528279504,3894.5302845789774,26562.172839799226,9480.903165612166
2025-06-27,3034.9177214820083,77300.30759345985,14796.86645326324,160626.4146307672,99784.13765604806,3511.986203553395,26349.27374749491,9910.097298144887
2025-06-30,5532.150147482083,83445.3608029657,12070.078654575336,151096.80708916578,94941.9529929068,2795.321718614716,25324.878042170254,6447.99365031936
