Date,OFI,MACD,RSI,LSTM,RSI_MACD,LSTM_RSI,LSTM_OFI,LSTM_MACD,XGBoost
16-06-2025,4711.99317,84950.86902,12820.99265,153496.7658,94724.96916,3053.2458,24088.85998,8190.476577,930517.47
17-06-2025,5215.11147,78460.2357,13050.18093,154962.9365,93311.99504,3596.018529,24019.83239,7381.757624,992000
18-06-2025,8091.730742,81291.8233,11323.68015,156146.9907,92520.61798,3700.524451,25052.24446,7412.848224,990000
19-06-2025,14726.86366,83898.67352,11802.76181,162415.3047,95583.78384,2106.451829,24657.75773,9077.73651,858469.43
20-06-2025,3795.402215,81837.0409,17203.23505,160585.1252,91533.74871,3546.224966,25994.0585,11128.97018,905569.79
23-06-2025,9082.728749,90191.87645,16195.85507,169124.483,98801.60354,2744.755458,30074.68195,10128.41205,770335.74
24-06-2025,12318.66546,84212.02773,14645.72257,154979.5121,92713.797,4156.664756,25218.46594,8633.518213,593460.62
25-06-2025,15214.8733,84730.75429,13444.12927,162626.4177,98492.71533,2982.140103,27329.25737,8706.347807,915921.6
26-06-2025,4913.687208,85285.51107,12349.8943,157082.7714,98400.36528,3894.530285,26562.17284,9480.903166,990000
27-06-2025,3034.917721,77300.30759,14796.86645,160626.4146,99784.13766,3511.986204,26349.27375,9910.097298,953637.17
30-06-2025,5532.150147,83445.3608,12070.07865,151096.8071,94941.95299,2795.321719,25324.87804,6447.99365,879054.67
